gene	gene_symb	major_transcript	minor_transcript	iso_ratio	diff	maj_pval	min_pval	p_value	corr	final_sp	event_importance	exclusive_domains	adj_pval
5110	PCMT1	ENST00000464889.7	ENST00000649295.1	0.25	0.21885291771331383	1.42753379172258e-05	0.008897246094218984	4.833369426276698e-05	0.8672204440845178	3	0.34756312167345355	[]	4.831660866405978e-05
284349	ZNF283	ENST00000618787.5	ENST00000588967.1	0.25	0.06793720558592393	1.6383896324158726e-05	1.689158470060539e-09	5.490860511151427e-05	0.6214540020838476	2	0.36533763249306905	['PF13912', 'PF00096']	5.4887161925526927e-05
51025	PAM16	ENST00000571178.1	ENST00000573553.5	0.5	0.06242258190665504	8.65262597565822e-06	0.09659826359291057	5.7759717298654935e-05	0.5470219395121017	3	0.36527722337539453	['PF03656']	5.773696622833369e-05
5575	PRKAR1B	ENST00000537384.6	ENST00000406797.5	0.25	0.3204101930913832	1.7659277814360656e-05	0.00564204780247703	5.88519432943654e-05	0.7880814159417057	3	0.46412499886740044	[]	5.88283657439943e-05
5575	PRKAR1B	ENST00000537384.6	ENST00000403562.5	0.25	0.07024552820372076	1.7659277814360656e-05	0.07189616044432194	5.88519432943654e-05	0.85844517414724	3	0.24295524699482918	[]	5.88283657439943e-05
151194	METTL21A	ENST00000272839.7	ENST00000448823.2	0.25	0.05048065633364049	2.8982615657978528e-05	0.15449194983819212	9.299875580463025e-05	0.6437828773031739	2	0.16859023430936484	['PF10294']	9.295210551774619e-05
285203	EOGT	ENST00000403140.6	ENST00000424374.5	0.5	0.1021393413389059	1.6046271484056283e-05	0.012516741008330251	0.00010216004137375356	0.7381798441904633	3	0.2472771191958309	[]	0.00010210329267384287
4149	MAX	ENST00000555667.5	ENST00000556443.5	0.5	0.05781690312520452	1.626004624595195e-05	0.13540610896640448	0.00010341346152778999	0.7203120210582897	3	0.16814724328371725	[]	0.00010335566841647145
29919	RMC1	ENST00000590868.5	ENST00000590870.5	0.25	0.08074024770464794	3.4017250679046656e-05	0.5270242899454923	0.00010779162859509125	0.5537577009963016	3	0.2208151915053409	['PF07035']	0.0001077299371608504
10401	PIAS3	ENST00000393046.3	ENST00000463514.2	0.25	0.14402042756330058	3.907916234171425e-05	0.052256078257733665	0.00012247620042857028	0.7577672532307395	3	0.191370128347366	['PF14324']	0.00012240074444115317
23265	EXOC7	ENST00000634349.1	ENST00000357231.8	0.25	0.06395809188689706	3.976483260120311e-05	0.012600530920565586	0.00012445221530240052	0.843842107255337	2	0.13219874709348953	[]	0.0001243721900760887
254295	PHYHD1	ENST00000419872.1	ENST00000421063.6	0.25	0.08012203922923643	4.0252079263368716e-05	0.3247311749617985	0.00012585459893327882	0.7231122733465071	3	0.31958024053866346	['PF05721']	0.00012577282454366234
254295	PHYHD1	ENST00000419872.1	ENST00000451000.5	0.25	0.14157362827361586	4.0252079263368716e-05	0.0646906427424046	0.00012585459893327882	0.921476127463882	3	0.5938956492950989	[]	0.00012577282454366234
254295	PHYHD1	ENST00000419872.1	ENST00000442837.5	0.25	0.14157362827361586	4.0252079263368716e-05	0.006542908429451112	0.00012585459893327882	0.818115051186805	3	0.29062008143157136	[]	0.00012577282454366234
5592	PRKG1	ENST00000672084.1	ENST00000373980.11	0.5	0.9403742041283597	2.0195457142210434e-05	2.0195457142210505e-05	0.0001262539204090521	0.8553592912264402	3	0.5163018273065638	['PF00027']	0.0001261697613298799
5592	PRKG1	ENST00000373980.11	ENST00000672084.1	0.5	0.9403742041283597	2.0195457142210505e-05	2.0195457142210434e-05	0.00012625392040905258	0.8553592912264403	3	0.5163018273065638	['PF00027']	0.0001261697613298799
654364	NME1-NME2	ENST00000393193.6	ENST00000376392.10	0.25	0.3782203526890108	4.409930273246972e-05	0.2215558375961296	0.00013687719024260507	0.9180726969709395	3	0.4109558695326628	[]	0.00013678272417115333
10921	RNPS1	ENST00000565333.5	ENST00000397086.6	0.25	0.20956108950425237	4.4390205800112446e-05	0.009805894812177095	0.00013770714177837657	0.943662540277291	3	0.5491417890268723	['PF00076']	0.00013761117570575197
10921	RNPS1	ENST00000565333.5	ENST00000561518.5	0.25	0.07898766496159226	4.4390205800112446e-05	0.10561742508767216	0.00013770714177837657	0.7686345045768466	3	0.6671150783002385	['PF00076']	0.00013761117570575197
10921	RNPS1	ENST00000565333.5	ENST00000320225.10	0.25	0.1150587787108582	4.4390205800112446e-05	0.05602964429572747	0.00013770714177837657	0.9345074754687485	3	0.5390938794271521	['PF00076']	0.00013761117570575197
54849	DEF8	ENST00000564836.1	ENST00000562986.5	0.25	0.053818917360812	4.487413104754029e-05	0.26077749810600087	0.00013908673462020038	0.6202015964886033	3	0.2964477304229183	['PF00130']	0.00013898371989600383
26234	FBXL5	ENST00000515679.1	ENST00000412094.6	0.25	0.08259869250747198	4.754749858861299e-05	0.21182780996217726	0.00014668493342678227	0.8572842428464039	3	0.8052076846260653	['PF13516', 'PF12937']	0.00014657382194527488
26234	FBXL5	ENST00000515679.1	ENST00000513163.5	0.25	0.1271371780515074	4.754749858861299e-05	0.08336978861749658	0.00014668493342678227	0.958997472688559	3	0.6899481982971304	['PF13516', 'PF12937']	0.00014657382194527488
8828	NRP2	ENST00000450507.5	ENST00000357785.10	0.25	0.15972283997027847	4.7807658770914336e-05	0.01387176730632818	0.00014742231485714548	0.816238648504792	2	0.7261406230120898	['PF11980', 'PF00629', 'PF00754']	0.0001473091558872313
10043	TOM1	ENST00000411850.5	ENST00000443206.2	0.25	0.06896476703307329	5.071153569742924e-05	0.17146524434325303	0.00015562928488663315	0.703214229824403	2	0.7425253361602073	['PF03127']	0.00015550668273516506
100131827	ZNF717	ENST00000478296.5	ENST00000652011.2	0.25	0.07215764580495768	5.148064890642276e-05	0.002371136418257641	0.00015779589724266993	0.9594259045496614	3	0.11733006340533642	['PF01352']	0.00015767052580032198
100131827	ZNF717	ENST00000478296.5	ENST00000471541.2	0.25	0.12392219056689102	5.148064890642276e-05	0.0027464256826301063	0.00015779589724266993	0.7982635209739541	3	0.26028153815059546	['PF00096']	0.00015767052580032198
55764	IFT122	ENST00000515783.5	ENST00000349441.6	0.25	0.05931666709428996	5.543836937235367e-05	0.20687912904686678	0.00016890037913835739	0.7696561987315826	3	0.15471516285724995	[]	0.00016876220466748306
63901	FAM111A	ENST00000420244.6	ENST00000533703.1	0.5	0.0652349619751841	2.8719394407507624e-05	0.015329563305465104	0.0001744859024552719	0.8161380072772593	3	0.12557459204067492	[]	0.00017433375978995216
103	ADAR	ENST00000681683.1	ENST00000649042.1	0.25	0.062494628732834276	6.0572308701104266e-05	0.0034666719094290812	0.00018320044919531165	0.9068980353928694	1	0.1285887621822617	[]	0.0001830289894231753
6901	TAZ	ENST00000652644.1	ENST00000651139.1	0.25	0.15089909755404463	6.15056106624116e-05	0.00910462467799751	0.0001857880994212964	0.78411110307669	3	0.683108445986099	['PF01553']	0.00018560921404567026
4772	NFATC1	ENST00000397790.6	ENST00000592223.5	0.25	0.23778792600923043	6.198803914303894e-05	0.005969363603762781	0.0001871242773516183	0.8240025231060771	3	0.6475583011341101	[]	0.00018693906566838336
4772	NFATC1	ENST00000397790.6	ENST00000545796.5	0.25	0.22559364624596667	6.198803914303894e-05	0.16803350463707425	0.0001871242773516183	0.8037753381406557	3	0.4218513791057235	[]	0.00018693906566838336
51149	MRNIP	ENST00000292586.11	ENST00000521299.5	0.25	0.07163958609382783	6.281610749035413e-05	0.013326631673753721	0.00018941558671961965	0.7120545422122432	2	0.4750479833042967	['PF15749']	0.00018922555640395945
5831	PYCR1	ENST00000583564.5	ENST00000619204.4	0.25	0.10133339863807417	6.323694168957112e-05	0.0765696987969282	0.0001905790092826649	0.6228537170354184	3	0.8374613398657724	['PF14748']	0.00019038396215429685
4600	MX2	ENST00000481838.5	ENST00000680862.1	0.25	0.051709732805706565	6.524411771028359e-05	0.0013525175375502655	0.00019611841932642862	0.7666296130298912	2	0.8732877938745469	['PF01031', 'PF00350', 'PF02212']	0.00019591638241402108
151556	GPR155	ENST00000614352.4	ENST00000392552.7	0.25	0.5178203766265361	6.951400146037236e-05	0.0008305351214799361	0.00020785167346578008	0.8622759539255119	3	0.5184363553769149	[]	0.00020762985193408477
1981	EIF4G1	ENST00000441154.5	ENST00000413967.5	0.25	0.11329083351705357	7.385828027515445e-05	0.00030996611008317864	0.00021972204665822358	0.9047777210032634	3	0.40398454476056916	['PF02020', 'PF02847', 'PF02854']	0.0002194779406394339
1981	EIF4G1	ENST00000441154.5	ENST00000676453.1	0.25	0.14956861617248285	7.385828027515445e-05	0.00016471238124433446	0.00021972204665822358	0.879240803832109	3	0.4667322584105956	['PF02020', 'PF02847', 'PF02854']	0.0002194779406394339
5451	POU2F1	ENST00000443275.2	ENST00000429375.6	0.25	0.11933163169255447	8.164201826387669e-05	0.15704854116999734	0.00024083294975779098	0.5164487852152079	1	0.1904974296089046	[]	0.00024055728215212146
23514	SPIDR	ENST00000517693.5	ENST00000519401.5	0.25	0.05233657290090889	8.164359201095358e-05	0.009714910112192714	0.0002408371986589891	0.8288470770611625	1	0.20653634676990212	['PF14950']	0.00024055747218294795
8099	CDK2AP1	ENST00000538446.5	ENST00000618072.4	0.25	0.214884076185513	8.497512442415801e-05	0.0007595438666130762	0.0002498151043843064	0.7236185604999709	2	0.621612061115322	[]	0.00024951906310734576
112724	RDH13	ENST00000415061.8	ENST00000587721.1	0.25	0.17590050283077324	8.681456028240267e-05	0.0018796356653541428	0.00025475799054860905	0.7593622749686949	3	0.808290576830626	['PF00106']	0.0002544535187450406
79671	NLRX1	ENST00000292199.6	ENST00000409991.5	0.25	0.23599195385606625	8.770290062840766e-05	0.3525880494771337	0.0002571416145956228	0.8119057751236248	3	0.3787487196227419	[]	0.00025683169694919194
257415	FAM133B	ENST00000456502.1	ENST00000415397.6	0.5	0.16964519447543913	4.403728471107402e-05	0.0005857754261919796	0.00025813821975233475	0.7614081496880689	3	0.5393735766681216	[]	0.00025782536286256095
257415	FAM133B	ENST00000456502.1	ENST00000427372.5	0.5	0.18638638028933194	4.678652657023006e-05	0.0006641770726518067	0.0002728370910913032	0.7654917296007904	2	0.6453171030861303	[]	0.0002724981527585331
54522	ANKRD16	ENST00000380092.8	ENST00000380094.10	0.25	0.3595361423868107	9.52148996466693e-05	0.00040536322801169194	0.0002772102889256175	0.8828911554884137	2	0.8017359951429304	[]	0.0002768519190615356
9221	NOLC1	ENST00000605788.6	ENST00000603946.5	0.5	0.05415825118556716	4.914571750468406e-05	0.15188449117778546	0.0002853859385924411	0.7524140807198082	2	0.17809070426266785	['PF05022']	0.00028500258778816695
27145	FILIP1	ENST00000370020.1	ENST00000237172.12	0.25	0.5381986427711967	0.00010903483263823419	0.05102205153867528	0.0003137514795999438	0.8487472099678867	3	0.5276307464221325	[]	0.00031331206950987534
6462	SHBG	ENST00000380450.9	ENST00000575729.5	0.5	0.24448994041878477	5.581788115953883e-05	0.11297785443176911	0.0003205778173383302	0.8031018976097881	1	0.31423001771196934	[]	0.0003201212921469928
665	BNIP3L	ENST00000520409.5	ENST00000520077.5	0.25	0.12413627047287573	0.00012611773305303093	0.006394977144135571	0.0003583190523030172	0.8352792034701587	3	0.21889883956185416	['PF06553']	0.0003577605283489635
54788	DNAJB12	ENST00000394903.6	ENST00000444643.8	0.25	0.33951651919214587	0.00013511483752271406	0.0005245360975577891	0.0003815534870429368	0.972828268832605	3	0.6602647743859323	[]	0.00038092920246227027
145282	MIPOL1	ENST00000556753.5	ENST00000556615.5	0.25	0.2403107164820339	0.0001367822602987983	0.008470506166255375	0.0003858427381672323	0.9416135553695328	1	0.3856370996531789	[]	0.00038520234282822817
6929	TCF3	ENST00000651991.1	ENST00000585731.5	0.25	0.12071372159008507	0.00013778134403003082	0.026486138120941666	0.00038841032624952436	0.8510201835480865	2	0.46176680137493453	['PF00010']	0.00038776043892224416
53349	ZFYVE1	ENST00000394207.6	ENST00000553891.5	0.5	0.10352025275440226	7.063135998586856e-05	0.3267468298931967	0.0003973431960353706	0.7589409391303409	1	0.31584787468833797	[]	0.00039667568686199884
23559	WBP1	ENST00000409737.5	ENST00000233615.7	0.25	0.32105353422202904	0.0001417263531976885	0.0009602314384979553	0.00039853120335291424	0.8896030448747873	3	0.7155915493344791	[]	0.0003978590150226115
8295	TRRAP	ENST00000446306.7	ENST00000628380.2	0.25	0.13791528826414126	0.00014705894277900093	0.008849406725229117	0.0004121684019239942	0.9267699288270417	2	0.4266533827371977	[]	0.00041146349898907254
81856	ZNF611	ENST00000600943.5	ENST00000596702.5	0.25	0.117790826433716	0.00014875605863370702	0.00026324299311935846	0.000416498263499005	0.5957952978047292	1	0.15869729013567066	[]	0.000415781748959865
8663	EIF3C	ENST00000331666.11	ENST00000566866.5	0.25	0.20640093820978594	0.00015462968862516954	0.000459463940754192	0.00043144666575894324	0.9289955097429409	3	0.5175318191889025	[]	0.00043068700495623943
29894	CPSF1	ENST00000616140.2	ENST00000531727.5	0.25	0.12278998605525314	0.00015813416582141415	0.0012226626736344798	0.00044033886011812535	0.5469204993748243	3	0.49594563207699915	['PF10433']	0.0004395605776824542
29894	CPSF1	ENST00000616140.2	ENST00000620219.4	0.25	0.1153289032932504	0.00015813416582141415	0.030245097195132506	0.00044033886011812535	0.5209600861444802	3	0.8376108182746789	[]	0.0004395605776824542
10147	SUGP2	ENST00000337018.10	ENST00000601879.5	0.25	0.06790706005691828	0.00016134948763047794	0.0005803024886073696	0.0004484802662429028	0.9282796231963948	2	0.628853347999935	[]	0.00044767853506764125
2779	GNAT1	ENST00000232461.8	ENST00000433068.5	0.25	0.8467760200133322	0.00016192663380884182	0.00016192663380884182	0.00044993993325203663	0.6963855510697549	3	0.5464070010276868	[]	0.00044913104838839525
2779	GNAT1	ENST00000433068.5	ENST00000232461.8	0.25	0.8467760200133322	0.00016192663380884182	0.00016192663380884182	0.00044993993325203663	0.6963855510697549	3	0.5464070010276868	[]	0.00044913104838839525
10361	NPM2	ENST00000289820.10	ENST00000518119.6	0.25	0.11692398138474981	0.00016312404646470313	0.03826721342891105	0.0004529666850857539	0.8303566234453292	2	0.4776707326888743	[]	0.00045214930893200156
5451	POU2F1	ENST00000443275.2	ENST00000367866.7	0.5	0.1302855735663205	8.164201826387669e-05	0.1338873122081077	0.00045337093212816673	0.6237310816274814	1	0.45510541100820456	[]	0.0004525513001961692
1981	EIF4G1	ENST00000676453.1	ENST00000441154.5	0.25	0.14956861617248285	0.00016471238124433446	7.385828027515445e-05	0.0004569781997745139	0.879240803832109	3	0.46673225841059557	['PF02020', 'PF02847', 'PF02854']	0.0004561412771769926
1981	EIF4G1	ENST00000676453.1	ENST00000350481.9	0.25	0.07449579678822113	0.00016471238124433446	0.003055669440885612	0.0004569781997745139	0.9910604917636446	3	0.23088656837631383	['PF02020', 'PF02847', 'PF02854']	0.0004561412771769926
1981	EIF4G1	ENST00000676453.1	ENST00000435046.7	0.25	0.0718108342908199	0.00016471238124433446	0.0005024548238709414	0.0004569781997745139	0.9323298269301349	3	0.23028167021648754	['PF02020', 'PF02847', 'PF02854']	0.0004561412771769926
1981	EIF4G1	ENST00000676453.1	ENST00000392537.6	0.25	0.06298843855823444	0.00016471238124433446	0.08878019797251911	0.0004569781997745139	0.8705087962574599	3	0.24875319811204938	['PF02020', 'PF02847', 'PF02854']	0.0004561412771769926
1981	EIF4G1	ENST00000676453.1	ENST00000414031.5	0.25	0.09188692146638798	0.00016471238124433446	0.011619621640262158	0.0004569781997745139	0.939977131235544	3	0.4212772157864696	['PF02020', 'PF02847', 'PF02854']	0.0004561412771769926
56926	NCLN	ENST00000587740.5	ENST00000246117.9	0.25	0.15684115079402874	0.00016608235882389406	0.00103218496894237	0.000460435152186426	0.5486868423760977	3	0.49782871558901637	['PF04389']	0.00045958104773829604
5873	RAB27A	ENST00000336787.6	ENST00000396307.6	0.25	0.18597916250505805	0.00016660871697463534	2.994698831638736e-06	0.00046176259298689364	0.9641791370131578	3	0.15986344628797938	[]	0.00046090447157626067
2977	GUCY1A2	ENST00000347596.2	ENST00000526355.7	0.25	0.53078692105102	0.0001673568394511515	0.11601017207838182	0.00046364859386620663	0.7373876732101176	1	0.5150048490085561	[]	0.0004627760411656208
7594	ZNF43	ENST00000593551.1	ENST00000598381.5	0.25	0.13754929148339523	0.00017324133197433065	0.002135059612007952	0.0004784544161161078	0.8725256300774419	3	0.6698125706256906	['PF00096']	0.0004775443353679641
7594	ZNF43	ENST00000593551.1	ENST00000596899.1	0.25	0.0671712244077685	0.00017324133197433065	0.13628912798042433	0.0004784544161161078	0.6902289098104443	3	0.5405035416003987	['PF01352']	0.0004775443353679641
79671	NLRX1	ENST00000292199.6	ENST00000525863.1	0.5	0.1149374105883986	8.770290062840766e-05	0.19196102052684402	0.0004838877200424906	0.8098983005090431	3	0.3070495982152922	[]	0.00048295753013909756
10693	CCT6B	ENST00000436961.7	ENST00000314144.10	0.25	0.607430547042278	0.00017559338781488783	0.008131005223115793	0.000484358288813031	0.7762520015593221	3	0.5749599707035777	[]	0.00048342556368476016
51537	MTFP1	ENST00000629597.2	ENST00000355143.8	0.25	0.17494078663128002	0.00018201469595665256	0.023981972041623223	0.0005004365512103661	0.8813693160146961	3	0.28694654441142836	[]	0.0004994644404559513
79065	ATG9A	ENST00000439812.5	ENST00000409618.5	0.25	0.09177542669178412	0.00018399598554692863	0.002739316134106478	0.0005053859584625147	0.904819993060689	3	0.16392711903426635	[]	0.0005043991290684067
79065	ATG9A	ENST00000439812.5	ENST00000396761.6	0.25	0.05160664167638594	0.00018399598554692863	0.05827755388916056	0.0005053859584625147	0.8052772760848613	3	0.1290693361146414	[]	0.0005043991290684067
116843	SLC18B1	ENST00000650278.1	ENST00000275227.9	0.25	0.4349566682163811	0.00018998270490064892	0.0009616026614219281	0.0005203090478011376	0.9783155663241915	3	0.7153975295301701	[]	0.0005192668041557825
57577	CCDC191	ENST00000483766.1	ENST00000491000.5	0.25	0.12346585887767426	0.00019574348091704752	0.04246685900185711	0.0005346243767676821	0.7800719947941473	2	0.35258464068077655	[]	0.0005334940622313629
7917	BAG6	ENST00000456286.5	ENST00000362049.10	0.25	0.0830116087618065	0.00019709786679584357	0.03435871844532656	0.0005379837779776388	0.933899954164456	3	0.7957556705460855	['PF12057']	0.000536835493879961
5494	PPM1A	ENST00000531937.1	ENST00000532036.2	0.25	0.06511269453048821	0.0001983766410899999	0.04934909578588406	0.0005411534974038879	0.6246521570808944	1	0.4697548400289624	['PF00481']	0.0005399948040995448
375449	MAST4	ENST00000407621.1	ENST00000403625.6	0.5	0.11997956636061513	0.00010009718251797301	0.04429481915643651	0.0005456555769518819	0.8309788497820482	2	0.6276092655599107	['PF17820', 'PF08926', 'PF00069']	0.0005444798959931792
79585	CORO7	ENST00000571059.5	ENST00000251166.9	0.25	0.06496238477181127	0.00020436612726712673	0.2439142513301953	0.0005559725207360616	0.905544831613331	3	0.6809841837405335	['PF16300']	0.0005547708672047976
79585	CORO7	ENST00000571059.5	ENST00000575038.5	0.25	0.061771789914565806	0.00020436612726712673	0.3652476726846696	0.0005559725207360616	0.8135557044851582	3	0.298875452266016	[]	0.0005547708672047976
159091	PABIR3	ENST00000642481.1	ENST00000645176.1	0.5	0.059802368983995914	0.00010264105728416374	0.14051977090369394	0.0005582349301573338	0.6227578575417608	3	0.2244930578902838	[]	0.0005570208693536546
57835	SLC4A5	ENST00000423644.5	ENST00000480696.1	0.5	0.22745773166184927	0.00010277854424589995	0.18063657223467042	0.0005589138923505444	0.8460029816044661	2	0.46520338646950976	['PF00955', 'PF07565']	0.0005576870651046465
192669	AGO3	ENST00000373191.9	ENST00000246314.10	0.25	0.107197873357381	0.00020611364160855617	0.02942911880072359	0.000560287845091683	0.7414132622130607	2	0.4447359965659027	['PF08699', 'PF16486']	0.0005590561157294344
784	CACNB3	ENST00000550391.5	ENST00000551544.5	0.25	0.06777567212062048	0.00020779852577442113	0.1980792321794227	0.0005644450023652871	0.5424082914114199	2	0.4563977712878617	[]	0.0005631946326742182
80256	FAM214B	ENST00000378566.5	ENST00000378557.1	0.25	0.14083032090325012	0.00021088908651416082	0.002436630749766842	0.0005720615626684221	0.5515694539244055	2	0.731298438717021	[]	0.0005707885429235972
11156	PTP4A3	ENST00000521578.6	ENST00000329397.6	0.5	0.141937047585581	0.00011634950940203861	0.002467297252334307	0.0006254983986579072	0.7662454005484575	1	0.14130347578948935	[]	0.000624041185081535
159090	PABIR2	ENST00000343004.10	ENST00000370790.5	0.25	0.06128075984304368	0.00023815117758525927	0.1760035947056388	0.0006387749974743264	0.7310990960987594	3	0.2890543931588469	[]	0.0006372782516312564
1427	CRYGS	ENST00000392499.6	ENST00000307944.6	0.25	0.810876877666963	0.00023941947259672317	0.00023941947259672292	0.0006418589332626321	0.9560719993591659	1	0.5556985987598805	[]	0.0006403398351395641
1427	CRYGS	ENST00000307944.6	ENST00000392499.6	0.25	0.810876877666963	0.00023941947259672292	0.00023941947259672317	0.0006418589332626321	0.9560719993591659	1	0.5556985987598805	[]	0.0006403398351395641
7358	UGDH	ENST00000510490.1	ENST00000514106.5	0.25	0.059414450664872866	0.00024157200254629402	0.009374454653388764	0.0006470890998908845	0.7398088119150135	3	0.2434146619476983	[]	0.000645553266471962
5494	PPM1A	ENST00000528241.2	ENST00000531937.1	0.5	0.06974713011553471	0.00012108573880292233	0.0001983766410899999	0.0006485448347904203	0.944306561247167	1	0.2379173101675075	[]	0.0006470011794819836
84626	KRBA1	ENST00000485033.6	ENST00000319551.12	0.5	0.06016487206168848	0.00012196565683459105	0.3506362859776141	0.0006528161919325053	0.6383979289081979	3	0.48188840218063145	[]	0.0006512601722450323
23514	SPIDR	ENST00000517693.5	ENST00000517619.5	0.75	0.1102975710076592	8.164359201095358e-05	0.10818492691089204	0.000655240605871288	0.7678498145315712	1	0.44465448297650445	[]	0.0006536743956133778
